Nome Oficial;Nome Fantasia
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Lagoa Grande;Cartório do Registro Civil com Funções Notariais da Vila de Lagoa Grande 
Ofício do Registro Civil Das Pessoas Naturais;
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protestos de Títulos e Pessoas Júridicas;
Ofício de Registro Civil Das Pessoas Naturais;Registro Civil das Pessoas Naturais
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;Cartório de Imóveis e Hipotecas
Ofício do Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais;
Ofício de Registro Civil e Tabelionato de Notas - Algodão;Cartório de Registro Civil Distrito de Algodão
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Tabelionato de Notas e Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil das Pessoas Naturais
Tabelionato de Notas e Protesto de Títulos;Tabelionato de Notas com Funções de Protesto
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício do Registro Civil e Tabelionato de Notas - Mocambo;
Ofício de Registro Civil e Tabelionato de Notas - Olhos D´Agua do Seco;Ibitiara - Cartorio de Registro Civil - Distrito de Olhos d´ Água do Seco 
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;Cartório de Registro de Imóveis
Ofício do Registro Civil e Tabelionato de Notas - Canoão;Cartório do Teco 
Ofício do Registro Civil e Tabelionato de Notas - Feira Nova;
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos.;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil e Tabelionato de Notas - Dist. Boa Vista do Lagamar;
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil
Tabelionato de Notas e Protesto de Títulos;Cartório de Notas
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;Registro de Imóveis
Tabelionato de Notas e Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil C/ Funções Notariais de Igrapiúna 
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil e Tabelionato de Notas - Iguaibi;Registro Civil C/ Funções Notariais - Iguaibi
1º Ofício de Registro Civil Das Pessoas Naturais;Registro Civil das Pessoas Naturais 1º Ofício
2º Ofício de Registro Civil Das Pessoas Naturais;Cartório de Risoleta
Ofício de Registro Civil Das Pessoas Naturais - Pontal;Cartório do Pontal
1º Tabelionato de Notas;
2º Tabelionato de Notas;
3º Tabelionato de Notas;
2º Ofício do Registro de Imóveis;
Tabelionato de Protesto de Títulos;Cartório de Protesto
Ofício de Registro Civil e Tabelionato de Notas - Aritaguá;Cartório de Aritaguá
Ofício de Registro Civil Das Pessoas Naturais - Banco Da Vitória;Cartório de Registro Civil das Pessoas Naturais do Distrito de Banco da Vitória 
Ofício de Registro Civil Das Pessoas Naturais - Castelo Novo;Registro Civil com Funções Notariais - Castelo Novo
Ofício de Registro Civil Das Pessoas Naturais - Inema;Registro Civil com Funções Notariais - Inema
Ofício de Registro Civil Das Pessoas Naturais - Japu;Cartório de Registro Civil das Pessoas Naturais do 4º Distrito de Japu
Ofício do Registro Civil e Tabelionato de Notas - Olivença;Cartório de Registro Civil de Olivença
Ofício de Registro Civil Das Pessoas Naturais - Pimenteira;Registro Civil com Funções Notariais - Pimenteira
Ofício de Registro Civil Das Pessoas Naturais - Rio do Braço;Registro Civil com Funções Notariais - Rio do Braço
1º Ofício do Registro de Imóveis;
Ofício do Registro de Imóveis - 1ª Circunscrição;Registro de Imóveis 1ª Circunscrição
Cartório do Registro Especial de Títulos e Documentos;
Ofício de Registro Civil Das Pessoas Naturais;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Tabelionato de Notas e Protesto de Títulos;
Ofício de Registro Civil e Tabelionato de Notas - Cavunge;Cartório do Registro Civil de Cavunge
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil de Ipecaetá
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais - Barra do Rocha;
Ofício do Registro de Imóveis;Cartorio Aloysio Conrado
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil das Pessoas Naturais
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil e Notário distrito de Ipupiara
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Ibipetum;
Ofício do Registro Civil e Tabelionato de Notas;Cartório do Registro Civil Com Funções Notariais
Ofício de Registro Civil Das Pessoas Naturais;Registro Civil das Pessoas Naturais
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Novo Acre;Registro Civil com Funções Notariais Distrito de Novo Acre
Ofício do Registro de Imóveis, Títulos e Documentos;
Tabelionato de Notas e Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais;
Ofício do Registro Civil e Tabelionato de Notas - Iraporanga;
Tabelionato de Notas e Prostesto de Títulos;
Ofício de Registro de Imóveis Títulos e Documentos e Pessoas Jurídicas;
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e  Pessoas Jurídicas;Cartório de Registro de Imóveis e Hipotecas
Ofício de Registro Civil Das Pessoas Naturais;
Ofício do Registro Civil Das Pessoas Naturais e Tabelionato de Notas -  Bento Simões;Cartório de Registro Civil Com Funções Notoriais de Bento Simões
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil 
1º Tabelionato de Notas e Protesto de Títulos;
2º Tabelionato de Notas;
1º Ofício de Registro de Imóveis;
Ofício do Registro de Títulos e Documentos e Pessoas Jurídicas;
2º Ofício de Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais;Registro Civil das Pessoas Naturais
1º Tabelionato de Notas;
2º Tabelionato de Notas;
1º Ofício do  Registro de Imóveis;Cartório Fernando Antônio Cincura de Andrade Silva
2º Ofício do Registro de Imóveis;
Ofício do Registro de Títulos e Documento e Pessoas Jurídicas;
Tabelionato de Protesto de Títulos;Cartório de Protesto de Títulos
1º Ofício de Registro Civil Das Pessoas Naturais;
2º Ofício de Registro Civil Das Pessoas Naturais;
1º Tabelionato de Notas;
2º Tabelionato de Notas;
3º Tabelionato de Notas;Cartório do 3º Ofício de Notas
1º Ofício de Registro de Imóveis;
2º Ofício do Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Ferradas;
Tabelionato de Protesto de Títulos;
Ofício do Registro de Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais;
Ofício do Registro de Imóveis, Títulos e Documentos;Registro de Imóveis
Ofício de Registro Civil e Tabelionato de Notas - Taboquinhas;Cartório do Registro Civil de Taboquinhas
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e de Interdições e Tutelas;
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Japumirim;
Ofício do Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;Cartório de Imóveis e Hipotecas
Ofício do Registro Civil e Tabelionato de Notas;
Ofício do Registro Civil e Tabelionato de Notas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Bandeira do Almada;
Tabelionato de Notas e Protesto de Títulos;Tabelionato Guimarães
 Ofício de Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais;
Ofício de Registro Civil Das Pessoas Naturais;Registro Civil das Pessoas Naturais
Tabelionato de Notas e Protesto de Títulos;Tabelionato do 1º Ofício
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;Cartório Rodrigues Queiroz
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil das Pessoas Naturais
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil das Pessoas Naturais
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imoveis, Títulos e Documentos;
Ofício de Registro Civil e Tabelionato de Notas - Catolezinho;Cartório Registro Civil
Ofício de Registro Civil e Tabelionato de Notas - São José do Colônia;Cartório Bita
Ofício de Registro Civil e Tabelionato de Notas;
Tabelionato de Notas e Protesto de Títulos;Cartório Medeiros
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;Cartório Lisboa
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Ibirajá;Registro Civil com Funções Notariais Ibirajá
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Batinga;
Ofício de Registro Civil Das Pessoas Naturais;Cartório Gundim
Ofício de Registro Civil Das Pessoas Naturais;Cartório Registro Civil das Pessoas Narurais
Tabelionato de Notas e Protesto de Títulos;
Ofício de Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil com Funções Notariais 
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil das Pessoas Naturais
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil e Tabelionato de Notas - Caiubi;Cartório do Registro Civil das Pessoas Naturais
Ofício de Registro Civil Das Pessoas Naturais e de Interdições e Tutelas;
1º Tabelionato de Notas;Tabelionato do 1º Ofício de Notas
1º Ofício do Registro de Imóveis;
Ofício de Registro Civil e Tabelionato de Notas - Bandeira do Colônia;Cartório do Registro Civil com Funções Notariais de Bandeira do Colônia
2º Ofício do Registro de Imóveis;
Tabelionato de Protesto de Títulos;
2º Tabelionato de Notas;
Ofício de Registro de Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;Tabelionato com Função de Protesto
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;Cartório de Registro de Imóveis
Ofício de Registro Civil e Tabelionato de Notas - Sambaíba;Cartório de Sambaíba
Ofício de Registro Civil Das Pessoas Naturais;Itapitanga - Registro Civil das Pessoas Naturais
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;Cartório de Registro de Imóveis e Hipotecas
Tabelionato de Notas e Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais;Registro Civil de Itaquara
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil e Tabelionato de Notas - Ribeirão do Salto;Registro Civil com Funções Notariais Ribeirão do Salto
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil das Pessoas Naturais com Funções Notariais
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil das Pessoas Naturais
Tabelionato de Notas;
Ofício do Registro de Imoveis;
Ofício de Registro Civil Das Pessoas Naturais e de Interições e Tutelas;
Tabelionato de Notas e Protesto de Titulos;Tabelionato Rezende
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;Cartório do Registro de Imóveis
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Itati;Registro Civil e Notas de Itati
Ofício de Registro Civil e Tabelionato de Notas - Rio do Meio;Cartório do Registro Civil e Tabelionato
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
Ofício de Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Tabelionato de Notas e Protesto de Títulos;
Ofício de Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;Cartório Onésimo Araújo
Ofício de Registro Civil Das Pessoas Naturais;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil de Iuiú
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil de Jaborandi
Ofício de Registro Civil Das Pessoas Naturais e de Interdições e Tutelas;Registro Civil 
Ofício do Registro de Imóveis, Títulos e Documentos e Civil Das Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Paiol;Cartório do Registro Civil e Notas
Tabelionato de Notas e Protesto de Títulos;Tabelionato de Notas de Jacaraci
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Irundiara;Cartório do Registro Civil e Notas
2º Ofício de Registro Civil Das Pessoas Naturais;Cartório Registro Civil 2º Ofício
1º Tabelionato de Notas;
2º Tabelionato de Notas;
2º Ofício do Registro de Imóveis;
1º Ofício do Registro de Imóveis;
Ofício do Registro de Títulos e Documentos e Pessoas Jurídicas;
Tabelionato de Protesto de Títulos;
Ofício do Registro Civil e Tabelionato de Notas - Caatinga do Moura;
Ofício do Registro Civil e Tabelionato de Notas - Itaitu;
Ofício do Registro Civil e Tabelionato de Notas - Itapeipu;
1º Ofício de Registro Civil Das Pessoas Naturais;Registro Civil 1º Ofício 
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil das Pessoas Naturais
Tabelionato de Notas e Protesto de Títulos;Tabelionato de Notas Com Protesto
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;Registro de Imóveis e Hipotecas e Títulos e Documentos
Ofício de Registro Civil Das Pessoas Naturais - Ipiúna;Cartório de Registro Civil
Ofício de Registro Civil e Tabelionato de Notas - Stela Dubois;Registro Civil com Funções Notariais
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Edvone Vitor de Almeida Soares
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis,Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil e Tabelionato de Notas - Juacema;Registro Civil com Funções Notariais
Ofício de Registro Civil Das Pessoas Naturais e de Interdições e Tutelas;
Tabelionato de Notas e Protesto de Títulos;
Ofício de Registro Civil e Tabelionato de Notas - Camassandi;Cartório Registro Civil com Funções Notariais
Ofício de Registro Civil Das Pessoas Naturais - Cunhangi;
Ofício do Registro Civil e Tabelionato de Notas - Jacuruna;
Ofício de Registro Civil e Tabelionato de Notas - Pirajuia;
Ofício de Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício do Registro Civil e Tabelionato de Notas;Cartório do Registro Civil das Pessoas Naturais com Funções de Notas 
1º Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil das Pessoas Naturais do 1º Ofício
2º Ofício de Registro Civil Das Pessoas Naturais;
1º Tabelionato de Notas;
1º Ofício do Registro de Imóveis;
Ofício do Registro de Títulos e Documentos e Pessoas Jurídicas;
Tabelionato de Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais - Baixão;Cartório do Registro Civil das Pessoas Naturais
Ofício de Registro Civil e Tabelionato de Notas - Boaçu;Cartório Registro Civil com Funções Notariais de Boaçu
Ofício de Registro Civil e Tabelionato de Notas - Itaibó;Cartório de Itaibó
Ofício de Registro Civil e Tabelionato de Notas - Itajuru;Cartório de Registro Civil
Ofício de Registro Civil e Tabelionato de Notas - Oriente Novo;Cartório de Registro Civil de Pessoas Naturais
2º Tabelionato de Notas;
Ofício do Registro Civil Das Pessoas Naturais;
Tabelionato de Notas;
Ofício do Registro de Imóveis  e Hipotecas;
Tabelionato de Notas e Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Tabelionato de Notas e Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos;
Ofício do Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis Reg. de Títulos  e Documentos e Pessoas Jurídicas;
1º Ofício do Registro Civil Das Pessoas Naturais;
2º Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil 2º Ofício 
2º Tabelionato de Notas;Cartório do 2º Ofício de Notas Emanuelle Perrotta
1º Tabelionato de Notas;Cartório Cláudia Araújo
1º Ofício do Registro de Imóveis;Cartório do Registro de Imóveis do 1º Ofício
2º Ofício do Registro de Imóveis;Cartório do Registro de Imóveis do 2º Ofício
Ofício do Registro de Títulos e Documentos e Pessoas Jurídicas;
1º Tabelionato de Protesto de Títulos;
Ofício do Registro Civil e Tabelionato de Notas - Juremal;
Ofício de Registro Civil e Tabelionato de Notas - Itamontinga;Cartório do Registro Civil com Funções Notariais
Ofício do Registro Civil e Tabelionato de Notas - Junco;Cartório do Reg. Civil das Pess. Naturais do Dist. do Junco
Ofício de Registro Civil Das Pessoas Naturais - Massaroca;Registro Civil com Funções Notariais
Ofício de Registro Civil e Tabelionato de Notas - Pinhões;Registro Civil com Funções Notariais
Ofício do Registro Civil e Tabelionato de Notas - Carnaíba do Sertão;
Ofício de Registro Civil e Tabelionato de Notas - Abóbora;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil de Jucuruçu
Ofício de Registro Civil Das Pessoas Naturais;
Ofício de Registro Civil Das Pessoas Naturais - Recife;Registro Civil com Funções Notariais
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório Registro Civil de Jussari
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Distrito de Caraguataí;
Ofício do Registro Civil e Tabelionato de Notas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil
Ofício de Egistro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil com Funções Notoriais
Ofício do Registro Civil e Tabelionato de Notas - Eng. Pontes;
Tabelionato de Notas e Protesto de Títulos;Cartório do Tabelionato de Notas do 1º Ofício
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;Registro Imóveis
Ofício do Registro Civil e Tabelionato de Notas - Capão;
Ofício de Registro Civil Das Pessoas Naturais;
Ofício do Registro Civil e Tabelionato de Notas;Cartório de Registro Civil
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;
Ofício do Registro Civil e Tabelionato de Notas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Registro Civil com Funções Notariais
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil de Lapão
Tabelionato de Notas e  Protesto de Títulos;
Ofício  do Registro de Imóveis,Títulos e Documentos e Pessoas Jurídicas;Cartório de Imóveis e Hipotecas, Tít. e Documentos e Pessoas Jurídicas
Ofício de Registro Civil Das Pessoas Naturais  e de Interdições e Tutelas;Cartório de Registo Civil de Lauro de Freitas
Tabelionato de Notas e Protesto de Títulos;NIHIL
Ofício de Registro de Imóveis, Títulos Documentos e Pessoas Jurídicas;Cartório de Registro de Imóveis e Hipotecasi
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;Cartório do Tabelionato de Notas
Ofício do Registro de Imóveis,Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Afrânio Peixoto;
Ofício de Registro Civil Das Pessoas Naturais;Registro Civil das Pessoas Naturais
Ofício de Registro Civil e Tabelionato de Notas - Tauape;Registro Civil com Funções Notariais
Tabelionato de Notas e Protesto de Títulos;
Ofício de Registro de Imóveis, Títulos e Documentos;Registro de Imóveis
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis,Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Iguatemi;Registro Civil Com Funções Notarias
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Itanagé;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - São Timóteo;Registro Civil  das Pessoas Naturais com Função Notarial
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Registro Civil com Funções Notariais
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Maiquinique;Ofício de Registro Civil Com Funções Notarias
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;Tabelionato de Notas de Macaúbas
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;Registro de Imóveis
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Canatiba;Cartório do Registro Civil de Canatiba
Ofício de Registro Civil e Tabelionato de Notas - Lagoa Clara;Registro Civil com Funções Notariais
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil das Pessoas Naturais
Tabelionato de Notas  e Protesto de Títulos;Tabelionato de Notas
Ofício de Registro de Imóveis,Títulos e Documentos e Pessoas Jurídicas;
Ofício do Registro Civil Das Pessoas Naturais;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Registro Civil com Funções Notariais
Ofício de Registro Civil Das Pessoas Naturais;Registro Civil com Funções Notariais
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil das Pessoais Naturais
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Tabelionato de Notas e Protestos de Títulos;
Ofício de Registro Civil Das Pessoas Naturais;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Parateca;Cartório de Registro Civil com Funções Notariais de Parateca
Tabelionato de Notas e Protesto de Títulos;Cartório de Tabelionato de Notas com Funções de Protestos
Ofício de Registro de Imóveis, Tít. e Documentos e Pessoas Jurídicas;Cartório do Registro de Imóveis 
Ofício de Registro Civil e Tabelionato de Notas;Cartório do Registro Civil
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil das Pessoas Naturais com Funções Notariais 
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil
Ofício do Registro Civil Das Pessoas Naturais;
1º Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;Cartório de Registro de Imóveis e Ipotecas
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos Documentos e Pessoas Jurídicas;Cartório de Imóveis
Ofício de Registro Civil e Tabelionato de Notas - Coqueiros;Cartório de Coqueiros
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Guaí;Cartório do Registro Civil Com Funções Notoriais
Ofício de Registro Civil e Tabelionato de Notas - Guapira;Registro Civil com Funções Notariais Guapira
Ofício de Registro Civil e Tabelionato de Notas - Nagé;Cartório de Nagé
Ofício de Registro Civil e Tabelionato de Notas - São Roque do Paraguaçu;Registro Civil C/ Funções Notariais de São Roque do Paraguaçu
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil e Tabelionato de Notas - Piabanha;
Ofício de Registro Civil e Tabelionato de Notas - Ibiaçu;
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil das Pessoas Naturais
Ofício de Registro Civil e Tabelionato de Notas - Juraci;Cartório Jonathan Umburanas Duarte
Tabelionato de Notas e Protesto de Títulos;
Ofício de Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil de Mascote
Ofício do Registro Civil Das Pessoas Naturais;
Ofício do Registro de Imóveis,Títulos e Documentos e Pessoas Jurídicas;
Tabelionato de Notas e Protestos de Títulos;Forum Des. Francisco Pondé Sobrinho
Ofício de Registro Civil e Tabelionato de Notas - Açu Da Torre;Registro Civil com Funções Notariais - Açu da Torre
Ofício do Registro Civil e Tabelionato de Notas - Amado Bahia;
Ofício de Registro Civil e Tabelionato de Notas;
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;Cartório de Imóveis
Ofício de Registro Civil Das Pessoas Naturais - Itupeva;Registro Civil com Funções Notariais
Ofício de Registro Civil Das Pessoas Naturais - Nova Lídice;Registro Civil com Funções Notariais
Ofício de Registro Civil Das Pessoas Naturais - Itapura;Registro Civil - Itapura
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais;
Ofício de Registro Civil Das Pessoas Naturais - Tapiranga;Registro Civil com Funções Notariais
Ofício do Registro Civil Das Pessoas Naturais;
Ofício do Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Distrito de Tartaruga;
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório Registro Civil Com Funções Notariais
Ofício de Registro Civil e Tabelionato de Notas - Nuguaçu;Cartório Registro Civil com Funções Notariais
Ofício de Registro Civil e Tabelionato de Notas - Taquarendi;Registro Civil com Funções Notariais
Ofício de Registro Civil Das Pessoas Naturais;
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
Ofício de Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
Ofício do Registro Civil e Tabelionato de Notas- Quixaba;
Ofício do Registro de Imóveis, Títulos e Documentos e Civil de Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto de Títulos;
 Ofício do Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil e Tabelionato de Notas - Camirim;Registro Civil com Funções Notariais - Camirim
