
Logradouro;Bairro
Q Qs 112 Conj. 7 Lote 4 Sala 101;Samambaia Sul
Avenida Norte Miguel Arraes De Alencar N ° 3003;Encruzilhada
R Anita Garibaldi, 77, Sl 502, Ed Piramide;Centro
Al Dr. Carlos De Carvalho, 230;Centro
Av Embaixador Abelardo Bueno 3500 Sala 1418;Barra da Tijuca
Rua Colibri 325;ESTÂNCIA SERRANA
Av Manoel Tavares N 875 - Sala 104;Centro
Rua Morangaba 158;Guadalupe
Rua Ponta Grossa, 1688;São Cristóvão
Av Dona Dita 320 Qd:49 Lt:10 Centro;Santa Terezinha de Goiás
Rua Desembargador Francisco Barros Fontenele, 1200;Jardim das Oliveiras
Rua Abelardo Machado,Nº54;Valão
Scn, Qd. 01, Bloco E, Nº 50,  Sala 1802 ;Asa Norte
Rua  Neto Mendonça  N ° 165;Tamarineira
Av. Desembargador Moreira, 1701 - Sala 204;Aldeota
Rua Dos Mundurucus 1412 Batista Campos;Batista Campos
Rua Professor Eduardo Monteiro , 200;Morumbi
Rua Leonel Curvelo Nº 1099;Suíssa
"Rua Sebastiao Bernardino Seixas; Nº 63;Vila Flórida
Rua 19 De Março, Nº 230;Amanaiara
R Joao Candido Marinho, 772, Letra D;Jardim Itália
Rua General Artigas,Nº 485 Apt 406;Leblon
Av. T-9 Nº 2310 Qd. 523 Lt, 10/15 Sala 710 A Ed. Inove Inteligent Place;Jardim América
Avenida Perimetral, 257 - Vida Nova;Parque Jockei Clube
Rua Boa Esperança, 116 Sala A, Dornelas;Muriaé
Rua Deputado Antonio Gomes De Almeida, 249;Carianos
Rua Formosa 186;Horto
Rua Ipe Amarelo 195;Cajazeiras
Rua Mario De Andrade, Nº 240;Bela Vista
Avenida  H  112   Sala 01 - Alvorada Ii;Alvorada
Rua Maria Carlota, 995;Vila Esperança
Srtvs Qd.701 Bl. 01 Nº 38 Ed. Assis  Chat Salas 601/603;Asa Sul
Av: Juarez Tavora, 522 Sala 103;Torre
Av. Cleto Campelo,3294 - Centro;Moreno
Rua Cel Cirilo . Shopping Tropical Piso C Sala 5Le Centro;Caldas Novas
Rua Rodrigo Silva 26/22º Andar Sala 2201 - Parte;Centro
Rua Caingangues, 238;Jardim Tarobá
Rua Deputado Carlos Coreeia Nº 399 Sala 13;Siqueira Campos
Shis Qi 29 Conjunto 10 Casa 13;Setor de Habitações Individuais Sul
Saan, Quadra 01, Lote 470;Zona Industrial
Rua Amarante Do Maranhao,Nº 197 Fundos;Sepetiba
Av. Presid.Kennedy, 41;Edgar Pereira
Rua João Dentelo, 480;Porto Ferreira
Rua Leandro Martins, Nº 22 Apto 518;Centro
Rua Marcilio Dias, Nº 426 Sala 02;Pequi
Rua Joaquim Nabuco 98 Apt 302;Copacabana
R Alfredo Pujol, 1600 - Sala B;Santana
Av Martinho De Almeida, 100 Loja D Parte;Rio Bonito
Rua Brigadeiro Franco, 3841 Sala 3;Rebouças
Av Eixo Urbano Central, S/N;Centro
Saus, Quadra 04,  Lote 9/10, Nº 30, Bloco A, Sala 222;Asa Sul
Travessa Princesa Isabel, 149B . Centro;Ibicaraí
Rua Etelvino Batista Aguiar 25 B;Jaíba
Rua Mostardeiro, 366/501;Auxiliadora
" Scs Quadra 7 Bloco A Nº 100 Sala 706;708;710;712";Asa Sul
Shis Qi 9 /11, Bloco A, Sala 22;Setor de Habitações Individuais Sul
"Rua Professora Alaide Ramos, 10 Centro";Reriutaba
"Rod Senador Jose Ermirio De Moraes; Sn : Av Antonio Bardella; 2610";Iporanga
R. Maracajú, 13;Centro
"Rua João Emidio Da Silveira, Nº 91 - Sala ""A""";Dionisio Torres
Rua Mantiqueira, 63 - Casa;Vila Mariana
Rua Tenente Silveira, 482, Sl 102;Centro
Rua Willy Carlos Trentini, 390 Parque Industrial Iii;Marechal Cândido Rondon
Av Presidente Castelo Branco, 50, Sala Crediauto;Nazaré
Rua João De Abreu  N1155 Sala A31 Andar Qd. F 8 Lt. 49 E Setor Oeste;Setor Oeste
"Rua Joaquim Afonso De Souza; N° 1533 Parte Superior";Vila Celeste
Rua Benedito Jose Tavera Nº 05 St.Planalto;Niquelândia
Rua Constante Ramos, Nº93, Apto 404;Copacabana
Rua Pedro Colaço, 03 Floresta;Irati
Shtq Quadra 03, Conjunto 04, Casa 10;Setor Habitacional Taquari
Avenida Presidente Getúlio Vargas N° 1780 Sala 208 Cxpst 61;Bairro Novo
"Rua Emilio Mallet; N° 193-Slj;";Vila Gomes Cardim
Rua Durval Clemente, 26 B;Jardim São Paulo(Zona Norte)
Rua C244 Qd.576, Lt.26;Setor Nova Suiça
R Aurea, 10;Vila Mariana
Rua Carlos De Almeida Nº 272 Qd. 39 Lt. 01 Centro;Itapaci
Av Marinheiro Max Schramm, 2199;Jardim Atlântico
Avenida Manoel Souza Chaves, Nº 101 A. Terreo;Parque Santa Clara
Desembargador Pedro Silva 2876 Sobre Loja - Sala 04;Coqueiros
R Artur Poffo , 1910;SANTA TEREZINHA
Av Getulio Vargas, 987;Bom Jesus
Quadra 03 Lote 02 Terreo E Subsolo;Setor Sul
Rua Laranjeiras 423;Centro
Av. Dom Pedro Ii, 3973;Caiçara
Rua Doutor Goulin, 1170;Juvevê
Avenida Barão Rio Branco, 191, Galpão  01;Interlagos
Rua  José Machado,Nº 582 - Sala: A - Santa Maria;Coromandel
Shn, Ca 01, Lote A, Bloco A, Sala 455, 4º Andar;Setor de Habitações Individuais Norte
Av. Washington Soares, 855 - Sala 311;Edson Queiroz
Rua Aloisio Azevedo N° 78.Boiadeira;Iaçu
Rua Clementino Freitas, 288 - Sala 05 - Ed Meridional - Centro;Capistrano
Rua Santos,339 Jardim Palmeira;Jardim Palmeiras
"Rua Gilson Cesar Moita; N° 239";Fernandópolis
Rua Pioneiro Carlos Poppi, 1085;Jardim Liberdade
Rua Padre Odorico, 128/801;São Pedro
Rua Pedro Luiz Pereira  Nº 247 Qd. 15 Lt. 05 Residencial Forteville;Residencial Forteville
Rua Boulevard Copacabana, Nº 03.;Brotas
Av. 136, N°44. Quadra 232, Lote 11, Sala 114.;Setor Marista
Rua Caracas N° 43 - Sala 01;Araçás
R. Sargento Faustino Lira Brandao, 72;Jardim Tijuca
Rua Diva Garcia, 3917 - Galpão;Linhares
Rua Jose Peroba , 149 Centro Emp. Eldorado 8º Andar Sl 801 E 802;Stiep
Av Americo Brasiliense, 231;Vila Rezende
Scs Q. 08 Bl. B Nº 60 Loja 106 1 Pavimento Ed. Venancio 2000;Asa Sul
Rua E Caminho 23, Nº 05. Conjunto Feira V;Mangabeira
Alameda Tocantins, 75 - Sl 1401  Edif West Gate;Alphaville Industrial
Av. Fernandes Lima, 1513 Sala 201;Pinheiro
Quadra 03, Conj. C, Lote 12, Entrada - Setor De Indústrias Bernardo Sayão;Setor de Indústrias Bernardo Sayão
Rua Do Ouvidor, 50/801;Centro
Rua Vereador Washington Mansur, 170;Ahú
Rua Do Piquizeiro S/N Sala 2 Aviaçao;Itapecuru Mirim
R T 27 N 0 Qd: 66 Lt:12 Apto 101;Setor Bueno
Av Santo Amaro, 811 - Cj 13;Vila Nova Conceição
Rua Araça, 187;Coronel Antonino
Rod. Es 10;Jardim Limoeiro
Rua General Carneiro, 621;Alto da Glória
Travessa Adalgisa A S Maior Nº10;Casinhas
R Antonio Caetano Da Rosa - 189 Centro;Gonçalves
Rua Ademar De Barros, 319 - Sala 04;Centro
Av. 16 De Novembro, 499 A;Cidade Velha
Rua Justino  Dias, 109;Carmo de Minas
R Anita Malfati, 231 - Ed Monique Apt 4;Parque Marajoara
R. Antonina De Castro Faria, 542;Monte Castelo
Rua 107, Nº 76;Nova Metrópole
Av. Enir Santos, 230 - Centro;Horizonte
R. Frederico Simões, 153/Sl 1414. Edf.  Emp. Orlando Gomes;Caminho das Árvores
Rua S1 N51 Q-S13 Lt 23 #403;Setor Bela Vista
R Carvalho De Mendonca, 832;Pampulha
Rua Francisco Tristão Da Costa,459-Escritório;Alegre
Avenida Da Bandeira Grande, N° 2141 ;Vila Bancária
Av C 5, 145, Apto 102 Lote 04 Quadra 28 Edif Res.Araujo Iii(Paraty);Jardim América
São Pedro 1443 Centro Fundos Sala 1;Gramado
Rua Mexicana 101 Lote 20 Quadra 41;Jardim Meriti
Rua Cel Cirilo Lopes Qd 5A Lote 12 Nivel C Sala Li5;Caldas Novas
Rua Guararapes,  Nº 873;Brooklin Paulista
Av. Antonio Da Rocha Viana-1.425 Sl.03;Bosque
Av. Professor Nilton Lins Nº2653;Flores
Rua Joao Fischer, 615, Casa;Paracambi
Av. Comendador Gustavo Paiva, 5945 Loja 1077;Cruz das Almas
Rua Apucarana, 347;Matinhos
Rua Do Ouvidor 00130 Sala 614;Centro
Av. Goias, N° 531 , Sala 03 Setor Sul;Goianésia
Av. José Moreira , 242 - Sala 2;Jardim Quarto Centenário
Rua Severino Faustino Magnani, 139;Concórdia
Rua Mario Pica Pau 386  Ribeiro Cardoso;Entre Rios de Minas
Rua Vicente Rizola 934 Santa Inês;Santa Inês
Avenida Ramalho Piva, 1125 -Brcao;Santo Antônio do Sudoeste
Rua Doutor Quirino, N°585 - Sala 85 - Andar 8 ;Centro
Av Das Américas,8445 Salas 1003 A 1006;Barra da Tijuca
R. Quinze De Agosto, 1637.;Ponta Grossa (Icoaraci)
Qi 4 Lote 1280/1300 Loja 04;Setor Leste
Rua Carolina Gaburro Salvador, 188, Loja 02 - Santa Terezinhaii;Alfredo Chaves
Rua Rute Ferraz De Angelis, 886 Sala 44;Loteamento Residencial 
Av Getulio Vargas 740/202;Menino Deus
Alameda Tocantins, 75 Sala 1402 - Edif West Gate;Alphaville Industrial
Shs, Quadra 03, Bloco A, Sala 10, Subsolo;Asa Sul
Av Churchill Nº 109 Sala 902;Centro
Av. Gentil Bittencourt, 768;Nazaré
Avenida Doutor Belminio Correia N ° 1500;Capibaribe
Rua Modelo, 33;Itaum
Rua Elias Bedran, 520;Limoeiro
Avenida Governador Agamenon Magalhães N ° 2656 Sala 1401;Espinheiro
Rua Roseval Alves, 1500;Jaguaruna
Estrada Dos Bandeirantes, 10875, Bloco 03, Galpão 06;Curicica
R Luiz Antonio Rodrigues, 816 - Sala 15;Itaim Mirim
Rua Do Limoeiro, 128;São Miguel
Av. Prof. Magalhaes Neto, Nº1450, Sl 1110. Edif. Millenium Empresarial;Pituba
Rua Comendador Siqueira, 1916 Apt 201;Pechincha
Rua Passo Da Patria, 1181 - 1° Andar;Bela Aliança
Rua Mariano Ribeiro, Nº 35. Centro;Serrinha
Av. Água Fria, 827;Água Fria
Av:Caiapo 1.110 Qd:96 Lt:02 Santa Genoveva;Santa Genoveva
R General Ribamar De Miranda, 553;Parque Fernanda
Estrada Municipal Fazenda São Francisco Km 06;São José do Barreiro
Av. Soares Lopes, 868 B, 1ºandar,S/3;Centro
Rua Barao De Itaipu 250 Apt 402;Andaraí
Rua João Linhares  Carias;São João Nepomuceno
Rodovia Rj 116 Km 207 S/Nº;Aperibé
Rua Das Pitangueiras Qd:02 Lt:12 Jardim Esperanca;Jaraguá
Avenida Alberto Braune, Nº 12 Sala: 603;Centro
Rua Elias Modesto Martins N° 35;Araripina
Rua Yokoama, 279;Vila Palmira
Av Caxangá  N ° 428 Sala: 02;Madalena
Rua Adelino Rodrigues Gatto, 179;Jardim Monte Alto
Rua Dona Mimi , 114;Morro da Liberdade
Rua Minas Gerais, 765 - Sl:701;Centro
Rua Espirito Santo, 1892, 5 Andar;Lourdes
Saus Quadra 04 Bloco A Sala 725 Ed. Victoria Office Tower;Asa Sul
Praia Do Flamengo 66 Bl B Sala 610;Flamengo
Rua Miranda Reis, 111-B;Poção
Rua Coronel Parreiras 196, Loja 02 ;Crucilândia
Rua Ademilson M Rodrigues, Nº 29 - Sl 02 - 1º Andar.;Lauro de Freitas
Rua 13 De Maio, 159 Fundos;Centro
Av.  Curaçao  Nº 373  Quadra 500  Cj  Nova  Cidade ;Cidade Nova
Shvp Rua 12 Chac 137/1 Lote 1;Setor Habitacional Vicente Piris
Cln 107, Bloco B,Nº 51, Sala 108, Parte H ;Asa Norte
Rua Santa Maria, N 63;Santo Antônio
Cj. Cohab, Gleba 1, Rua We 3, Nº345;Marambaia
Rua Cecil Salgado, 441;Jardim Guanabara
Rua Mogi , N º   231;Renascença
Srtvn, Qd. 701, Conj. C, Nº 124, Sala 704, Ala A, Parte B, Centro Emp. Norte;Asa Norte
Rua Marcos Linhares De Assis, 126;Brejarú
Av. Nossa Senhora Dos Navegantes N° 06 Anexo, Bairro Novo;Nova Almeida
Rua Jose Verissimo Da Costa Pereira, N° 515 ;Vila do Encontro
Av. Autaz Mirim, 8097;Tancredo Neves
Rua Anibal Requião, 500;Xaxim
Shis Qi 03 Bloco C/D Loja 09;Setor de Habitações Individuais Sul
Rua Barao De Sao Francisco,10 Apt 101;Andaraí
Rua Silvio De Aguirre, 84;Barcelona
Rua  Rubim, Nº 10;Sion
Rua Porto Firme, Nº 64;Paciência
Rua Dos Azulões, 01, Sala 917;Jardim Renascença
Rua Montreal, 444, Sala  A;Jardim das Américas
Rua Pedro Vicente, 138;Luz
Shn Quadra 02 Bloco F Sala 08 Ed. Executive Office Tower;Asa Norte
Rua Calma 41 Boa Vista;Nova Vista
R Ceara, 269 - Conj I;Alphaville Empresarial
Rua Paraná, N 264, Loja 007;Pituba
Shn Quadra 01, Bloco A, Conj. A, Sala 1414, Ed. Le Quartier;Asa Norte
Av Presidente Juscelino Kubitschek, 1327, Cond International Plaza Pavmto 19;Vila Nova Conceição
Rua Siqueira Campos, 38 - Varadouro;Varadouro
"Rua Dos Escultores; N° 285";Boaçava
Avenida Iguaçu, S/N - Chácara;São Miguel do Iguaçu
Rua Indore, 06;Praia da Lagoa
Av Goias N 475 Centro Sala 01;Setor Central
Rua Major Firmo Rodrigues,  N° 06;Coophamil
Rua Nossa Senhora Do Carmo, 385;Casimiro de Abreu
Avenida Engenheiro Luiz Carlos Berrini, 10913;Cidade Monções
Travessa Joaquim Felix, Nº 395 - Centro;Russas
Rua Copérnico, 89;Vila Lemar
Res. Sqs 415, Bloco T, Apº 303;Asa Sul
Avenida Hilton Souto Maior, 1575 - 1 Andar - Sl 110;José Américo de Almeida
Rua Agrípio Teodoro Soares, 227 - Centro;Reriutaba
Rua Olegario Leal, Nº 270;Alfredo Vasconcelos
Rua Nico Prado, 285;Paraguaçu
Rua Rita Bandeira Gondim, S/N - Centro;Fortim
Scln 214, Bloco D, Sala 114;Asa Norte
Av. Pioneiro Odilio Oliveira De Paula - Bairro Setor Hj Nº 170;Alta Floresta
Rua Padre Pedro De Alencar, Nº 2230;PARQUE SANTA MARIA
Rua Sc 1 Sn Qd. 03 Lt.029 Jardim Bela Vista;Jardim Vista Bela
Rua Antonio Pinto, 119 - Barro Vermelho;Reriutaba
Rua Bom Pastor, 2732 -3° Andar-Sala 36 Sul;Ipiranga
Rua Santa Rita, 514, Sala 213;Centro
Av. Diogenis Silva ;Buritizal
Av. Coronel Junqueira, 622 Jd. Aeroporto;Novo Horizonte
Rua Da Bahia, 1032 ;Centro
Rua João Pessoa, 2006;Salinópolis
R. Cel Pilad Rebua, 1956;Bonito
Rua Alberto Pereira Leal N ° 217 Quadra D  Lote 24;Jardim Primavera
Av Nelson Calixto, 783 - Sala 1;Novo Parque São Vicente
Rua Mario Ribeiro Junqueira 360;Conceição do Rio Verde
Rua Evaristo Da Veiga,49 Apt 301;Centro
Rua Seis De Outubro, 1987;Nova Lima
R Estudante Mario Roland, 354;Vila Piza
Av. Dona Sophia Rasgulaeff, 3613;Jardim Oásis
Avenida Nove De Julho, N°4939 - Conj 91 ;Jardim Paulista
Rua Coronel Honório Vieira, 51;Parque Manibura
R Alberto Santos, 201;Sombrio
Faz Pouso Alegre, Sn, Km Onze, Barra Do Guiricema- Zona Rural, Guiricema, Mg.;Visconde do Rio Branco
R Governador Armando Sales, 323;Vila Moraes
Rua Macambira, Nº 10. Cidade Monumento;Mucugê
Rua Euclides Da Cunha,Nº263, Edif.Fernando,Sl 01,Bl.B Pav.2,Parque Residencial ;Laranjeiras
R. Siria 44;Jardim Macedo
Estrada Santa Eugenia, 947 Loja B;Paciência
Avenida Pedro Americo 921 A;Julião Ramos
Rua Miguel Dianese 307;Itapecerica
Av. Estados Unidos, Nº 01 Edf. Cervantes, Sala 908;Comércio
Av Jose Ribeiro De Moura 308;Carmo
Av.Afonso Arinos De Melo Franco, 222 Bl  1 Sala 806;Barra da Tijuca
"Rua Marechal Arthur Da Costa E Silva; N° 669";Jardim Adalgisa
Rodovia Ba 052/Km 353 354 355;Irecê
R Geraldo Luiz Ch Corrego Do Almoco/ Jardim Colonial;Loteamento Marcone
Rua Arlinda Gomes De Medeiros, 262 , Mirante;Centro
Rua Adoniran Barbosa 328;Cantá
Rua Monte Castelo, 1636;Jardim São Pedro
Rua Alopio José Da Silva, 476;São Geraldo
Rua Rodrigues Caldas 726 Andar 2 Loja 8;Santo Agostinho
Rua Jaguaretama, Nº 229;Itanhangá
Av Jeronimo Miranda De Melo  N° 96;Surubim
Rua Varzea De Santo Antonio, 491 Qd H Lote 31. Edf. Arapiraca;Caminho das Árvores
Br 401 Km  Fazenda Santa Cecilia ;Cantá
Rua Patrício Roberto, Nº 239 - Centro;Limoeiro do Norte
Rua Tenente Marques De Sousa, 70 Parte;Tijuca
Rua Soledade, S/Nº, Lote 17;Monte Gordo
Rua Fernandes Marinho, 184 - Fundos;Oswaldo Cruz
Av. Nova Descoberta, 313 Cs;Nova Descoberta
Rua Leopoldo Da Cunha Lima 204;Santa Isabel
Rua Astolfo Moreira, 32 - Centro;João Pinheiro
Rua Doutor José Palu, 451 Bloco 14 A   Apto 32;Novo Mundo
R Hilário Ribeiro 202 - Sala 905;Moinhos de Vento
Rua Silva Araujo, 34;Cachoeirinha
Rua Capitao Carlos Sobreira;Mangabeira
Rua Francisco José Chartone, 88, Centro;Antônio Carlos
Avenida Carlos Gomes De Sa, 335;Mata da Praia
Rua Dr. José Peroba, Nº 349 / Sala 1308;Stiep
Rua Gra Nicco, 113 - Andar 03 Conj 404;Mossunguê
Rua Marginal Regis Bitencourt 57;Campanário
Rua Camburiu  316;Vila Ipojuca
Pça Getúlio Vargas Nº 63;São José
Av. Luiz Vianna Filho,621 Lot. Costa E Silva;Itaberaba
Rua Aldo Bonadei Nº 245 Cobertura 01;Barra da Tijuca
Av. Antonio Sales, 2772 - Sala 17;Dionisio Torres
Rua Doutor Luiz Migliano, N° 1986 - Conj 1104;Jardim Caboré
Avenida 13 De Setembro 823 ;Beirol
Antônio Alvim, 1199;Manoa
Rua Olegario Vale, 1122;Caicó
Rua Antônio Cavaliere, 260, Lourdes ;Itabirito
Avenida Das Américas, Nº 3434, Bloco 8, Centro De Eventos - Condomínio Mario Henrique Simonsen;Barra da Tijuca
Rua Alameda Julia De Deus Nº 13 Vila Nossa Senhora Do Carmo;Niquelândia
Rua Conselheiro Morton Farias, 1448 - Sala 107 - Ed. Griffpoint;Lagoa Nova
Rua Jerônimo De Albuquerque Nº 2526;Nova Lima
Rua Gino Benuzzi, 60;Cidade Industrial
Rua Capitão Acácio Pereira, 04 ;Jardim Iguaçu
Rua Doutor Orestes Diniz 60, Apart. 102;NOVA SUÍSSA
Av. Bernardo Vieira De Melo, 1243 , Galeria Praia Center Loja 18;Piedade
Rua Leonardo Malcher, Nº1781 - Sala 06 - Praça 14 De Janeiro;Praça 14 de Janeiro
Rua Padre Valdevino, 2497-B;Aldeota
R Odilon Prati 674;Farroupilha
Rua Cordeiropolis 26;Paciência
Rua Paraguai, 1089 Sala 01;Santa Helena
Rua Bezerra Mendes, 83 - Sala 104;Alto da Conceição
Rua Tapajós, Nº 100;Coqueiro
Rua Prudente Moraes  Nº741  Conj. D. Pedro;Dom Pedro
St Smpw Qd. 14 Conj. 03 Casa 01 - Mansão Flamboyant;Setor de Mansões Park Way
St Sbs Qd. 02 Bloco E Nº 12 Sala 206 Slj Parte Y17;Asa Sul
R Estados Unidos, 2114;Jardim América
Srtvs, Quadra 701, Bloco K, Lote 06, Sala 428;Asa Sul
Rua Pedrarias De Avilar Nº 903;Japiim
Av: Pedro Lazarino, 1492;Buritizal
Rua Manoel Serrazina 596;Carmo
Rua Boquim Nº 81 ;Centro
R  Da Republica  338/204;Cidade Baixa
R Professor Moraes, 714 Sala 1306;Funcionários
Rua Maringa 858 Nova Brasilia;Centro
Av.86 Qd.F-21 Lt.65 Loja 03;Setor Sul
Rua 08, Q 26, Lt 29 ;Conjunto Rio Claro III
Rua Doutor Silvio Dante Bertacchi, 169;Vila Sônia
Rua Nioaque Nº 801;Vila Santo Amaro
R Dos Pinheiros, 165;Jardim Novo Mundo
Rua São Sebastião,142;Vespasiano
Rua Solivana 51;Cosmos
"R Das Trovas; N°34   ";Socorro
Rua Dr. March, Nº 154;Barreto
Rua Frederico Guarinon, 419 - Conj 83;Jardim Ampliação
Rua Das Safiras, Nº376 - Conj. Residencial Manauense;Nossa Senhora das Graças
Rua Cirineu Menezes 375;Virgilato Pereira
Estrada Da Gavea N° 642 Apt 805;São Conrado
Av T9 Qd 523 Lt 10/15 Sala A907;Jardim América
Av Trompowsky, 291, Sala 703, Bloco 2;Centro
Estrada Bento Pestana, Nº 969;Baldeador
Av Jorge Elias De Lucca, 500, Sala 02;Nossa Senhora da Salete
Rod Br 393  N. 255;Além Paraíba
Alameda Santos, 1787 - 10 Andar;Cerqueira César
C 10 Lote Nº 02/03 Aptº 1002 Ed. Di Cavalcanti ;Taguatinga Centro
Rua Dona Anésia, N°32;Jaraguá
Av Colares Moreira, N°7, Centro Empresarial Vinicius De Morais, Sala 606;Jardim Renascença
Rua Maria Teresa Assuncao, N° 185 ;Vila São Geraldo
Rua Bartolomeu De Medeiros , N° 104 , Cxpst 269;Guadalupe
Rua Adalvaro Alves Cavalcanti 689 Casa A ;Santana
Avenida Nove De Abril, 1960 - Sala 22, Conj 02;Centro
Av. Eduardo Ribeiro, 654, 3º Andar, Sala 301 - Centro;Centro
Rua Jandaira, 860-A;Rio Real
Shcn Cl Quadra 102 Bloco B N. 50 Sala 101 ;Asa Norte
Rua Dom Adelino Dantas, 495 - Maynard;Caicó
Rua Bandeirante Sebastião Marinho, 144;Jundiaí
Rua Gilberto Studart, 55;Cocó
R Nigeria, 36;Itaim Bibi
R Santa Emilia, 90;Serra Negra
Rua 6, Chácara 265, Lote 09;Setor Habitacional Vicente Piris
Rua 1033 Nº 44 Qd. 74 Lt. 8-E;Setor Pedro Ludovico
Rua Gil Veloso, 27 A;Campo Grande
Rua Antonio Baião,Nº 339, N. Srª Parecida;Aparecida
Rua Fausto Aguiar, 700;Messejana
Scn Quadra 02 Bloco D Sala 912 A ;Asa Norte
Rua Da Quitanda  - 22 - 1 Andar - Sala 09;Diamantina
Rua Barbosa Rodrigues, 17;São Francisco
Rua Antonia De Carvalho, 151;São Pedro (Venda Nova)
Rua Antonio Ourique, 288 Apt 102;São João
Rua Dr. Rosalvo De Mello Leitão, 272 Jardim Curitiba;Goioerê
Rua Guaporé, 301;Presidente Kennedy
Rua Wilson  Castro, Nr 03 - Conj.  Eldorado ;Parque 10 de Novembro
Psg. Coimbra (Apeti), Nº 22;Coqueiro
Rua Eleutério Mota, 476 / 202;Olaria
Av Brigadeiro Faria Lima, 1234 - Andar 14, Cj 146;Jardim Paulistano
Sgas 605, Conjunto E, Módulos 35/37;Asa Sul
Av Doutor Pedro De Paula Lemos, 100 - Micro Dist Santa Rita;Micro Distrito Santa Rita
Rua Israel, 1267 E;Presidente Médici
"Tv Antonio Andrade Do Nascimento;Vila Redentora
Avenida Angelica,  N°501 - Conj 105;Santa Cecília
Av. José Cardoso Alcântara, 220 - Sala 02;CIDADE UNIVERSITÁRIA
Av. Ministro Hélio De Almeida, 58 ;Centro
Rua Jornalista Edson Regis, N°463, Apto 405;Jardim Atlântico
Avenida Paulista, N°1765 - Conj 72 - Cv8410 ;Bela Vista
Rua General João Saleiro Pitão Nº 1268 Sl 01 Lot. Alvaro Otacílio Lote 567;Jatiúca
R Sete De Setembro, 550 - Casa 6;Pindorama
Rua Do Atum, 140 - Letra A - Vida Nova ;Parque Jockei Clube
Av Dom Pedro Ii,1554;São Lourenço
Av.Governador Carlos De Lima Cavalcante N ° 3995;Casa Caiada
Av. Expedicionarios 259 Cxpst 013;Expedicionários
Rua Ivaí, 871 Sala 02 Centro;Mamborê
Av Josue Di Bernardi , 185;Campinas
Scn Quadra 02 Bloco D Sala 912 A Parte B ;Asa Norte
Rua Engenheiro Oscar Ferreira N ° 67;Casa Amarela
Av João Cabral Neto,200 Bl 4 Sala 104;BARRA DA TIJUCA
Quadra Cln 406, Bloco E, Salas 60, 62 E 64;Asa Norte
R Schilling, 494 - Apt 124;Vila Leopoldina
Rua Monsenhor José Ataíde Vasconcelos  Nº249 - Centro;Reriutaba
Rua Otavio Gomes De Souza,41;IBES
Rua Estrada De Campinas;Campinas de Pirajá
R 07, 2432;Centro
Rua Padre João Gualberto 602;Imirim
Praia Do Flamengo,66 Bl. B  Salas 1301 E 1302;Flamengo
Rua Conselheiro Lafaiete 68 Apt 602;Copacabana
Rua Conde De Prados, 240;Padre Eustáquio
R Prefeito Waldemar Frederico Weber 1815;Gramado
Rua Doutor Benedito Guedes Nº 270;Atalaia
Rua Jose Vieira Resende, 86, Sala 01;Parque Burle
Al São Paulo, 28;Terra Firme
Rua Jacob Guanaes, Nº335, 1ºandar - Centro;Seabra
Rua Martim Afonso De Souza (Cj D Pedro I), Nº554;Dom Pedro
Av Nossa Senhora De Copacabana,928;Copacabana
Rua Senador Feijo, N° 29 - Sala 204 E 205 ;Sé
Av T5, N°945. Apt. 208.;Setor Bueno
R. Floriano Peixoto 85 ;Santo Antônio
Rua Pedro Alvares Cabral,32;Alto Lage
Rua João De Oliveira Gouveia,34 - Sl: A;Sol Nascente
Av  Santa Monica, Nº 1169 - Saudade;Janaúba
Alameda Das Rosas  Nº 1.383-B Qd. R-18 Lt. 10 Setor Oeste ;Setor Oeste
Travessa Zulmira Silvany,33;Itaberaba
Avenida Planalto, 820 Centro;Braganey
Av Gov Magalhaes Pinto 4675;Niterói
Rua Da Candelaria 65 Sala 1604;Centro
Av La Salle, 060, Sala 02;Xanxerê
Rua  Salinas,Nº 388 - Sala:01;Floresta
Rua Herbert Jose De Souza   N 360;São Lourenço
Rua Vereador Joaquim Batista Soares, 23;Santa Maria Madalena
Rua Monsenhor Ariovaldo De Oliveira, 93;Vila Nova Conceição
Rua Augusto Severo, 354;Nossa Senhora das Graças
Scn, Quadra 02, Bloco A, Nº 190, Sala 504 Parte W2;Asa Norte
Rua Nen Barroso, 06 - Centro;Tururu
Rua Madre Ana Couto 104;Centro
R. Coronel Sebastiao Lima, 1377;Jardim Monte Líbano
Rua Rodrigo Silva 26/22° Andar Sala 2201 Parte;Centro
R Elisa Dias Ferreira, N 293;Imbiribeira
R Bernardino De Campos, 70 - Apt 33;Campo Belo
Rua Júlio Siqueira, 970;Dionisio Torres
Rua Do Ouvidor 130 Sala 614;Centro
Rua Santina Milanezi Goronci, 41, Vila Nova;Santa Teresa
R Joaquim Floriano, 477 - Sobreloja;Itaim Bibi
Rua Luiz Rocha, 590;Santa Terezinha
St Crs 502, Bloco C, Loja 37, Parte 543;Asa Sul
Rua Quintino Simão 81;Ribeiro de Abreu
Rua Professor Benjamim Somonetti, 722 C;Goianinha
Rua Das Pernambucanas N ° 407 Slas 501 A 510;Graças
Rua Do Piquizero N 10 Lote 16 Qd 3;Itapecuru Mirim
"R Tabapua, 474 - 3º Andar; Sala 36";Itaim Bibi
Rua Das Palmeiras,406;Horto
Rua Itabaianinha Nº 581 Galpão Centro;Umbaúba
Rua Várzea Do Santo Antonio, 491 Qd. H;Caminho das Árvores
